00		10		20		01		11		21		02		12		22
00		00		00		00		00		00		00		00		00

00		10		20		01		11		21		02		12		22
10		10		10		10		10		10		10		10		10

00		10		20		01		11		21		02		12		22
20		20		20		20		20		20		20		20		20

00		10		20		01		11		21		02		12		22
01		01		01		01		01		01		01		01		01

00		10		20		01		11		21		02		12		22
11		11		11		11		11		11		11		11		11

00		10		20		01		11		21		02		12		22
21		21		21		21		21		21		21		21		21

00		10		20		01		11		21		02		12		22
02		02		02		02		02		02		02		02		02

00		10		20		01		11		21		02		12		22
12		12		12		12		12		12		12		12		12

00		10		20		01		11		21		02		12		22
22		22		22		22		22		22		22		22		22
